date	region_name	region_code	deceased_addition	confirmed_addition	hospitalized_addition	deceased_cumulative	confirmed_cumulative	hospitalized_cumulative
2020-02-27	Drenthe	22					0	
2020-02-27	Flevoland	24					0	
2020-02-27	Friesland	21					0	
2020-02-27	Gelderland	25					0	
2020-02-27	Groningen	20					0	
2020-02-27	Limburg	31					0	
2020-02-27	Noord-Brabant	30					1	
2020-02-27	Noord-Holland	27					0	
2020-02-27	Overijssel	23					0	
2020-02-27	Utrecht	26					0	
2020-02-27	Zeeland	29					0	
2020-02-27	Zuid-Holland	28					0	
2020-02-28	Drenthe	22		0.0			0	
2020-02-28	Flevoland	24		0.0			0	
2020-02-28	Friesland	21		0.0			0	
2020-02-28	Gelderland	25		0.0			0	
2020-02-28	Groningen	20		0.0			0	
2020-02-28	Limburg	31		0.0			0	
2020-02-28	Noord-Brabant	30		0.0			1	
2020-02-28	Noord-Holland	27		1.0			1	
2020-02-28	Overijssel	23		0.0			0	
2020-02-28	Utrecht	26		0.0			0	
2020-02-28	Zeeland	29		0.0			0	
2020-02-28	Zuid-Holland	28		0.0			0	
2020-02-29	Drenthe	22		0.0			0	
2020-02-29	Flevoland	24		0.0			0	
2020-02-29	Friesland	21		0.0			0	
2020-02-29	Gelderland	25		0.0			0	
2020-02-29	Groningen	20		0.0			0	
2020-02-29	Limburg	31		0.0			0	
2020-02-29	Noord-Brabant	30		2.0			3	
2020-02-29	Noord-Holland	27		2.0			3	
2020-02-29	Overijssel	23		0.0			0	
2020-02-29	Utrecht	26		0.0			0	
2020-02-29	Zeeland	29		0.0			0	
2020-02-29	Zuid-Holland	28		1.0			1	
2020-03-01	Drenthe	22		1.0			1	
2020-03-01	Flevoland	24		0.0			0	
2020-03-01	Friesland	21		0.0			0	
2020-03-01	Gelderland	25		0.0			0	
2020-03-01	Groningen	20		0.0			0	
2020-03-01	Limburg	31		0.0			0	
2020-03-01	Noord-Brabant	30		2.0			5	
2020-03-01	Noord-Holland	27		0.0			3	
2020-03-01	Overijssel	23		0.0			0	
2020-03-01	Utrecht	26		0.0			0	
2020-03-01	Zeeland	29		0.0			0	
2020-03-01	Zuid-Holland	28		0.0			1	
2020-03-02	Drenthe	22		0.0			1	
2020-03-02	Flevoland	24		0.0			0	
2020-03-02	Friesland	21		0.0			0	
2020-03-02	Gelderland	25		0.0			0	
2020-03-02	Groningen	20		0.0			0	
2020-03-02	Limburg	31		0.0			0	
2020-03-02	Noord-Brabant	30		0.0			5	
2020-03-02	Noord-Holland	27		0.0			3	
2020-03-02	Overijssel	23		0.0			0	
2020-03-02	Utrecht	26		0.0			0	
2020-03-02	Zeeland	29		0.0			0	
2020-03-02	Zuid-Holland	28		0.0			1	
2020-03-03	Drenthe	22		1.0			2	
2020-03-03	Flevoland	24		0.0			0	
2020-03-03	Friesland	21		0.0			0	
2020-03-03	Gelderland	25		0.0			0	
2020-03-03	Groningen	20		0.0			0	
2020-03-03	Limburg	31		0.0			0	
2020-03-03	Noord-Brabant	30		7.0			12	
2020-03-03	Noord-Holland	27		1.0			4	
2020-03-03	Overijssel	23		0.0			0	
2020-03-03	Utrecht	26		3.0			3	
2020-03-03	Zeeland	29		0.0			0	
2020-03-03	Zuid-Holland	28		2.0			3	
2020-03-04	Drenthe	22		0.0			2	
2020-03-04	Flevoland	24		0.0			0	
2020-03-04	Friesland	21		0.0			0	
2020-03-04	Gelderland	25		1.0			1	
2020-03-04	Groningen	20		0.0			0	
2020-03-04	Limburg	31		0.0			0	
2020-03-04	Noord-Brabant	30		5.0			17	
2020-03-04	Noord-Holland	27		3.0			7	
2020-03-04	Overijssel	23		0.0			0	
2020-03-04	Utrecht	26		0.0			3	
2020-03-04	Zeeland	29		0.0			0	
2020-03-04	Zuid-Holland	28		4.0			7	
2020-03-05	Drenthe	22		1.0			3	
2020-03-05	Flevoland	24		1.0			1	
2020-03-05	Friesland	21		0.0			0	
2020-03-05	Gelderland	25		1.0			2	
2020-03-05	Groningen	20		0.0			0	
2020-03-05	Limburg	31		2.0			2	
2020-03-05	Noord-Brabant	30		7.0			24	
2020-03-05	Noord-Holland	27		2.0			9	
2020-03-05	Overijssel	23		1.0			1	
2020-03-05	Utrecht	26		20.0			23	
2020-03-05	Zeeland	29		0.0			0	
2020-03-05	Zuid-Holland	28		5.0			12	
2020-03-06	Drenthe	22		0.0			3	
2020-03-06	Flevoland	24		1.0			2	
2020-03-06	Friesland	21		0.0			0	
2020-03-06	Gelderland	25		8.0			10	
2020-03-06	Groningen	20		0.0			0	
2020-03-06	Limburg	31		7.0			9	
2020-03-06	Noord-Brabant	30		10.0			34	
2020-03-06	Noord-Holland	27		1.0			10	
2020-03-06	Overijssel	23		0.0			1	
2020-03-06	Utrecht	26		10.0			33	
2020-03-06	Zeeland	29		0.0			0	
2020-03-06	Zuid-Holland	28		10.0			22	
2020-03-07	Drenthe	22		0.0			3	
2020-03-07	Flevoland	24		0.0			2	
2020-03-07	Friesland	21		0.0			0	
2020-03-07	Gelderland	25		3.0			13	
2020-03-07	Groningen	20		0.0			0	
2020-03-07	Limburg	31		2.0			11	
2020-03-07	Noord-Brabant	30		23.0			57	
2020-03-07	Noord-Holland	27		7.0			17	
2020-03-07	Overijssel	23		3.0			4	
2020-03-07	Utrecht	26		14.0			47	
2020-03-07	Zeeland	29		1.0			1	
2020-03-07	Zuid-Holland	28		7.0			29	
2020-03-08	Drenthe	22		5.0			8	
2020-03-08	Flevoland	24		0.0			2	
2020-03-08	Friesland	21		0.0			0	
2020-03-08	Gelderland	25		13.0			26	
2020-03-08	Groningen	20		0.0			0	
2020-03-08	Limburg	31		5.0			16	
2020-03-08	Noord-Brabant	30		36.0			93	
2020-03-08	Noord-Holland	27		5.0			22	
2020-03-08	Overijssel	23		5.0			9	
2020-03-08	Utrecht	26		5.0			52	
2020-03-08	Zeeland	29		0.0			1	
2020-03-08	Zuid-Holland	28		5.0			34	
2020-03-09	Drenthe	22		2.0			10	
2020-03-09	Flevoland	24		0.0			2	
2020-03-09	Friesland	21		0.0			0	
2020-03-09	Gelderland	25		1.0			27	
2020-03-09	Groningen	20		0.0			0	
2020-03-09	Limburg	31		7.0			23	
2020-03-09	Noord-Brabant	30		42.0			135	
2020-03-09	Noord-Holland	27		1.0			23	
2020-03-09	Overijssel	23		1.0			10	
2020-03-09	Utrecht	26		0.0			52	
2020-03-09	Zeeland	29		0.0			1	
2020-03-09	Zuid-Holland	28		3.0			37	
2020-03-10	Drenthe	22		2.0			12	
2020-03-10	Flevoland	24		0.0			2	
2020-03-10	Friesland	21		2.0			2	
2020-03-10	Gelderland	25		3.0			30	
2020-03-10	Groningen	20		0.0			0	
2020-03-10	Limburg	31		9.0			32	
2020-03-10	Noord-Brabant	30		22.0			157	
2020-03-10	Noord-Holland	27		7.0			30	
2020-03-10	Overijssel	23		0.0			10	
2020-03-10	Utrecht	26		3.0			55	
2020-03-10	Zeeland	29		2.0			3	
2020-03-10	Zuid-Holland	28		10.0			47	
2020-03-11	Drenthe	22		0.0			12	
2020-03-11	Flevoland	24		1.0			3	
2020-03-11	Friesland	21		1.0			3	
2020-03-11	Gelderland	25		6.0			36	
2020-03-11	Groningen	20		0.0			0	
2020-03-11	Limburg	31		16.0			48	
2020-03-11	Noord-Brabant	30		61.0			218	
2020-03-11	Noord-Holland	27		5.0			35	
2020-03-11	Overijssel	23		2.0			12	
2020-03-11	Utrecht	26		12.0			67	
2020-03-11	Zeeland	29		3.0			6	
2020-03-11	Zuid-Holland	28		10.0			57	
2020-03-12	Drenthe	22		1.0			13	
2020-03-12	Flevoland	24		0.0			3	
2020-03-12	Friesland	21		3.0			6	
2020-03-12	Gelderland	25		12.0			48	
