date	iso3166-2	RelativeHumiditySurface	SolarRadiation	Surfacepressure	TemperatureAboveGround	Totalprecipitation	UVIndex	WindSpeed
2020-11-15	DE-BB	79.766568	1717905.683765	2411270.282827	282.7847	0.000324	0.663068	3.876852
2020-11-15	DE-BE	76.497056	1524768.63986	2416064.092657	283.065878	1.9e-05	2.230769	4.115967
2020-11-15	DE-BW	77.142656	4521892.992027	2298902.691068	282.750283	0.00402	4.244973	3.014919
2020-11-15	DE-BY	86.562547	4018540.680109	2288959.950006	278.983951	0.000631	3.218177	2.529636
2020-11-15	DE-HB	78.952779	2626529.278846	2409156.227564	286.078208	0.006187	2.435897	5.447596
2020-11-15	DE-HE	80.23554	3634029.47601	2340047.571045	284.107898	0.003891	3.175991	4.653168
2020-11-15	DE-HH	77.313353	2573893.306818	2407897.132576	285.976327	0.003322	2.075758	4.738005
2020-11-15	DE-MV	82.040168	1644424.351913	2413114.283298	284.022122	0.001314	0.314538	3.91706
2020-11-15	DE-NI	76.94358	2399021.546828	2396256.294067	285.884009	0.005186	1.916206	5.072264
2020-11-15	DE-NW	75.440806	2776147.15444	2367280.373845	285.84171	0.005678	3.020284	5.772737
2020-11-15	DE-RP	82.785045	3518208.157576	2334815.107398	284.61706	0.006365	4.289568	4.815272
2020-11-15	DE-SH	80.80995	2623922.944538	2407789.515527	285.440867	0.005223	1.477659	5.203859
2020-11-15	DE-SL	81.714933	3987776.332201	2337979.35394	285.417111	0.00869	5.0	5.435122
2020-11-15	DE-SN	78.329112	2208646.203682	2350832.913625	281.232225	2e-05	2.500424	5.400156
2020-11-15	DE-ST	75.434476	2247269.321947	2392209.004413	284.382163	0.001206	1.305995	4.121668
2020-11-15	DE-TH	77.672802	2804906.723121	2327426.05019	282.92569	0.00109	2.106565	4.831936
2020-11-15	DK-81	92.040583	320109.754219	2399724.287948	284.257949	0.006443	0.0	6.704329
2020-11-15	DK-82	89.669751	685073.721894	2395858.188155	284.581672	0.007763	0.0	5.598622
2020-11-15	DK-83	85.918684	1776371.232234	2400992.166622	285.020544	0.007642	0.795503	5.959219
2020-11-15	DK-84	90.257853	2008239.254042	2415279.803695	284.136124	0.000908	0.04388	4.534161
2020-11-15	DK-85	87.941523	2316276.416773	2412355.51364	284.544625	0.002297	0.84058	5.452739
2020-11-15	NL-DR	82.535721	1632000.937173	2404664.486911	285.449015	0.008304	1.282723	6.386595
2020-11-15	NL-FL	82.143271	786788.166123	2403774.330435	285.414169	0.01151	0.582609	8.436691
2020-11-15	NL-FR	84.901787	813787.814294	2402448.806156	285.11218	0.009993	1.422629	8.865114
2020-11-15	NL-GE	79.448233	1409195.416553	2403856.682285	286.018368	0.009258	1.893297	6.437734
2020-11-15	NL-GR	82.302682	1544970.208218	2405126.260359	285.494743	0.009609	2.881215	7.083874
2020-11-15	NL-LI	74.665467	1714717.441544	2394425.780882	286.65255	0.006709	3.008824	6.458002
2020-11-15	NL-NB	77.752811	910936.735279	2404779.745523	286.164856	0.011047	1.663912	6.725046
2020-11-15	NL-NH	82.564472	355083.98228	2402003.657567	285.357476	0.011516	1.39272	9.759435
2020-11-15	NL-OV	81.012777	1681509.853206	2404503.912325	285.769694	0.007702	0.747495	6.169998
2020-11-15	NL-UT	80.704112	626931.253684	2404515.784934	285.634871	0.012526	1.938865	7.665429
2020-11-15	NL-ZE	81.375114	179256.083895	2404284.905015	285.664753	0.014595	2.887538	9.376241
2020-11-15	NL-ZH	81.596584	286200.756491	2404237.548807	285.644501	0.012984	2.5141	8.785358
2020-11-15	SE-AB	92.494427	104412.517519	2423088.506297	281.630506	0.000924	0.0	4.213231
2020-11-15	SE-AC	90.468421	6753.829599	2301024.813099	276.862355	0.001912	0.0	4.039518
